Dataset,d (qubits),Kernel,Feature map,Depth,Entanglement,Centered?,Delta test acc,Delta offdiag p50,Delta offdiag p95,Delta eff rank,CI95 Delta test acc,CI95 Delta offdiag p50,CI95 Delta offdiag p95,CI95 Delta eff rank,Baseline test acc,Baseline offdiag p50,Baseline eff rank
heart_disease,18,multiscale,zz_qiskit,1,linear,False,0.09239130434782616,0.1628675262499718,0.21426738579352622,-535.0534749135303,,,,,0.5416666666666666,2.8669656966830608e-08,917.0948335637335
heart_disease,20,multiscale,zz_qiskit,1,linear,False,0.11413043478260876,0.16400271539261363,0.2086855503800327,-524.981194494901,,,,,0.5416666666666666,4.774011586205531e-09,917.0951946914448
ionosphere,4,local,zz_qiskit,1,linear,False,-0.0046948356807511304,0.2047911789560304,0.22917770741446,-65.18321075942893,,,,,0.6525821596244131,0.03585134608015269,111.91049884783467
ionosphere,6,local,zz_qiskit,1,linear,False,0.023474178403755763,0.23850782269471693,0.3295298077005082,-224.28667961215461,,,,,0.6291079812206574,0.006557228749252693,294.2960910853217
ionosphere,8,local,zz_qiskit,1,linear,False,0.009389671361502261,0.2451406788312367,0.3487020323244173,-254.45913338233163,,,,,0.6431924882629109,0.0011748071060545626,338.1567975675436
ionosphere,10,local,zz_qiskit,1,linear,False,0.009389671361502372,0.2462897724921777,0.34358721492083993,-254.02668077828895,,,,,0.6384976525821596,0.00022051655440718086,346.27676456538626
ionosphere,12,local,zz_qiskit,1,linear,False,0.009389671361502372,0.24731462414851463,0.33610466876997364,-249.70767344001223,,,,,0.6384976525821596,3.850428079175215e-05,348.50583530215727
ionosphere,14,local,zz_qiskit,1,linear,False,0.0,0.24784008361555182,0.32684940226128034,-245.39642729610057,,,,,0.6384976525821596,7.722935914750934e-06,349.11698912080857
ionosphere,16,local,zz_qiskit,1,linear,False,-0.009389671361502372,0.24802319088276606,0.32117057995809695,-242.06253143079283,,,,,0.6384976525821596,1.365412882484687e-06,349.2224928354606
ionosphere,18,local,zz_qiskit,1,linear,False,0.009389671361502372,0.24859629307678885,0.316181734689883,-239.01713554435014,,,,,0.6384976525821596,2.582751315462838e-07,349.4094063547298
ionosphere,20,local,zz_qiskit,1,linear,False,0.0,0.24908081399151732,0.31326955870894696,-237.27134528393475,,,,,0.6384976525821596,4.8793286781034923e-08,349.51006231684295
ionosphere,4,multiscale,zz_qiskit,1,linear,False,-0.0046948356807511304,0.12702834130451307,0.1454268437489439,-49.664955722104054,,,,,0.6525821596244131,0.03585134608015269,111.91049884783467
ionosphere,6,multiscale,zz_qiskit,1,linear,False,0.023474178403755763,0.1460563166959817,0.1984850096682575,-153.58056774318158,,,,,0.6291079812206574,0.006557228749252693,294.2960910853217
